iter	Passed	Remaining
0	2	248
1	4	225
2	6	200
3	7	180
4	9	177
5	11	176
6	12	172
7	14	168
8	16	169
9	18	167
10	20	166
11	22	163
12	23	159
13	25	158
14	27	155
15	28	152
16	31	152
17	33	150
18	34	148
19	36	146
20	38	145
21	40	144
22	42	142
23	44	140
24	46	139
25	48	137
26	50	135
27	51	133
28	53	132
29	55	129
30	57	127
31	59	125
32	61	124
33	62	122
34	64	119
35	66	117
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	75	104
42	77	103
43	79	101
44	81	99
45	83	98
46	86	97
47	88	95
48	90	94
49	92	92
50	94	90
51	96	89
52	99	88
53	101	86
54	102	83
55	103	81
56	105	79
57	107	78
58	109	76
59	111	74
60	113	72
61	115	70
62	117	68
63	119	67
64	121	65
65	123	63
66	124	61
67	126	59
68	128	57
69	130	55
70	131	53
71	133	51
72	135	50
73	137	48
74	138	46
75	140	44
76	142	42
77	143	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	153	29
84	155	27
85	157	25
86	158	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	170	10
94	172	9
95	173	7
96	175	5
97	177	3
98	178	1
99	180	0
