iter	Passed	Remaining
0	265	265692
1	268	133774
2	269	89700
3	273	68206
4	276	55063
5	279	46238
6	281	39919
7	283	35119
8	285	31476
9	289	28629
10	291	26200
11	294	24224
12	296	22485
13	302	21274
14	304	20011
15	306	18878
16	309	17894
17	311	17002
18	318	16457
19	321	15772
20	324	15143
21	333	14845
22	337	14316
23	340	13849
24	356	13901
25	400	15015
26	404	14559
27	414	14376
28	417	13983
29	420	13608
30	429	13435
31	432	13092
32	459	13471
33	462	13153
34	478	13181
35	505	13531
36	508	13236
37	511	12950
38	519	12808
39	522	12547
40	539	12629
41	543	12399
42	546	12162
43	550	11952
44	557	11826
45	560	11620
46	564	11436
47	568	11270
48	571	11085
49	590	11219
50	593	11052
51	601	10961
52	604	10803
53	608	10652
54	617	10615
55	631	10640
56	636	10531
57	640	10394
58	665	10615
59	668	10473
60	671	10336
61	674	10202
62	678	10085
63	683	10001
64	693	9978
65	697	9870
66	700	9753
67	704	9654
68	707	9548
69	713	9485
70	722	9447
71	738	9517
72	746	9480
73	749	9384
74	753	9287
75	761	9252
76	765	9179
77	769	9094
78	771	8996
79	779	8961
80	781	8865
81	784	8781
82	785	8678
83	787	8587
84	795	8558
85	799	8492
86	803	8436
87	809	8389
88	819	8385
89	824	8338
90	827	8267
91	835	8245
92	838	8179
93	841	8114
94	847	8071
95	854	8047
96	862	8028
97	867	7986
98	875	7966
99	883	7952
100	886	7892
101	890	7839
102	893	7782
103	898	7742
104	901	7686
105	904	7629
106	907	7575
107	927	7656
108	931	7615
109	935	7569
110	938	7519
111	945	7494
112	949	7453
113	952	7406
114	963	7413
115	971	7407
116	979	7390
117	982	7342
118	993	7358
119	996	7309
120	999	7262
121	1001	7210
122	1009	7199
123	1012	7155
124	1015	7111
125	1035	7184
126	1039	7148
127	1045	7121
128	1048	7079
129	1057	7076
130	1061	7038
131	1064	6997
132	1070	6980
133	1074	6941
134	1077	6902
135	1080	6862
136	1093	6886
137	1096	6847
138	1102	6831
139	1106	6794
140	1115	6793
141	1117	6754
142	1124	6741
143	1128	6708
144	1134	6688
145	1142	6684
146	1153	6693
147	1156	6660
148	1169	6676
149	1172	6641
150	1182	6650
151	1186	6616
152	1189	6586
153	1193	6553
154	1224	6676
155	1231	6660
156	1234	6628
157	1237	6595
158	1240	6562
159	1245	6538
160	1247	6499
161	1264	6538
162	1279	6572
163	1283	6542
164	1286	6509
165	1289	6480
166	1295	6462
167	1299	6434
168	1302	6403
169	1308	6388
170	1317	6386
171	1320	6356
172	1324	6332
173	1328	6307
174	1331	6278
175	1335	6251
176	1341	6237
177	1350	6236
178	1362	6247
179	1365	6220
180	1376	6229
181	1379	6201
182	1382	6173
183	1388	6158
184	1391	6131
